,Computer_Decisions,Trust_Major_Tech,Impact_Tech,Ethics_Company,Regulation_Gvt,Gender_view_Tech,Use_Facebook,Use_Twitter,Use_Instagram,Use_YouTube,Use_Snapchat,Freq_Angry_Content,Freq_Inspired_Content,Freq_Amused_Content,Freq_Depressed_Content,Freq_Connected_Content,Freq_Lonely_Content,Accuracy_Content,Figure_my_Hobbies,Figure_my_political_aff,Figure_my_religious_beliefs,Figure_my_race,Change_political_view,Social_media_election,Social_media_influence_policy,Social_media_create_movement,Age_category,Sex,Income,Internet_User,Education_Level,marital__2.0,marital__3.0,marital__3.5,marital__4.0,marital__5.0,marital__6.0,religion__2.0,religion__3.0,religion__4.0,religion__5.0,religion__6.0,religion__6.5,religion__7.0,religion__8.0,religion__9.0,religion__10.0,religion__11.0,religion__12.0
34,1.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,6.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,9.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,2.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,6.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,6.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,4.0,1.0,7.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,2.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,8.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,2.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,6.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.5,4.0,1.0,2.5,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,8.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,2.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,9.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,6.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,1.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,8.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,2.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,9.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,8.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,2.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,7.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,2.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,7.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,8.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,1.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,2.0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,9.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
